date,description,amount,type
2026-05-20,SHELL OIL 574429910 02,-58.17,debit
2026-05-21,COSTCO GAS #0681,-59.53,debit
2026-05-22,TRADER JOE S #552,-109.43,debit
2026-05-22,CHIPOTLE 1184,-12.37,debit
2026-05-23,H MART  SAN JOSE,-77.0,debit
2026-05-23,AMZN Mktp US*R733T75,-118.95,debit
2026-05-26,UBER   8005928996 CA       EDI PYMNTS,539.81,credit
2026-05-26,OFFICE DEPOT #1135,-162.05,debit
2026-05-27,DOORDASH, INC.   DIRECT DEP,269.67,credit
2026-05-27,CHEVRON 0090123 SAN JOS,-40.22,debit
2026-05-27,SAFEWAY #1492 FUEL PTS,-68.04,debit
2026-05-29,INSTACART        DES:PAYMENT,131.91,credit
2026-05-29,UPWORK -ESCROW   745213XX,853.47,credit
2026-05-30,CHEVRON 0090123 SAN JOS,-57.88,debit
2026-05-30,H MART  SAN JOSE,-72.38,debit
2026-05-31,STARBUCKS 800-782-7282,-28.52,debit
2026-05-31,JIFFY LUBE #2204,-126.01,debit
2026-06-01,VENMO            CASHOUT,91.99,credit
2026-06-01,PROPERTY MGMT ACH RENT,-1850.0,debit
2026-06-01,VZWRLSS*APOCC VISB,-89.99,debit
2026-06-02,UBER   8005928996 CA       EDI PYMNTS,372.14,credit
2026-06-02,ZELLE FROM SARAH M CONF# T117326,156.14,credit
2026-06-02,DISCOUNT TIRE CO TXS,-186.97,debit
2026-06-03,STRIPE TRANSFER  ST-K74487,730.74,credit
2026-06-04,OFFICE DEPOT #1135,-44.3,debit
2026-06-05,GEICO  *AUTO     PYMT,-168.4,debit
2026-06-05,NETFLIX.COM      NETFLIX.COM,-15.49,debit
2026-06-06,VENMO            CASHOUT,37.03,credit
2026-06-07,ZELLE FROM MICHAEL R CONF# T961504,174.55,credit
2026-06-07,CHIPOTLE 1184,-24.76,debit
2026-06-08,LYFT INC         PAYMENTS,116.99,credit
2026-06-08,ZELLE FROM MICHAEL R CONF# T809594,278.03,credit
2026-06-08,COSTCO GAS #0681,-36.26,debit
2026-06-08,AUTOZONE #4411,-56.97,debit
2026-06-08,TARGET 00021212,-168.39,debit
2026-06-09,UBER   8005928996 CA       EDI PYMNTS,613.02,credit
2026-06-09,CHEVRON 0090123 SAN JOS,-34.48,debit
2026-06-09,H MART  SAN JOSE,-49.14,debit
2026-06-09,SPOTIFY USA      8777781161,-11.99,debit
2026-06-09,ADOBE  *CREATIVE CLD,-22.99,debit
2026-06-10,DOORDASH, INC.   DIRECT DEP,277.68,credit
2026-06-11,TRADER JOE S #552,-122.59,debit
